g,p,pb,resul
Jorge Wilstermann,Real Potosi,0.9986425871265051,vl

Oriente Petrolero,Real Santa Cruz,0.8744408911150602,vl

The Strongest,Atletico Palmaflor,0.9991438095367379,vv

Bolivar,Blooming,0.9997938324667952,vl

Aurora,Royal Pari,0.5008634626626409,vv

Guabira,Nacional Potosi,0.6700000253940073,vv

San Jose,Guabira,0.7155425296283104,vv

Blooming,Royal Pari,0.6220111779634047,vl

Bolivar,The Strongest,0.9682216088429771,vv

Atletico Palmaflor,Real Santa Cruz,0.6426000968885583,vv

Oriente Petrolero,Real Potosi,0.8564468826768623,vl

Jorge Wilstermann,Always Ready,0.997497797901501,vv

Oriente Petrolero,Always Ready,0.6051691177482806,vl

Bolivar,Real Santa Cruz,0.9998864713962622,vl

The Strongest,Royal Pari,0.9964837146183251,vv

Blooming,Nacional Potosi,0.6201399004499449,vv

Guabira,Aurora,0.7388160515829265,vl

San Jose,Aurora,0.7083600459035317,vv

The Strongest,Nacional Potosi,0.9952365840177587,vl

Always Ready,Atletico Palmaflor,0.6320346647334607,vl

San Jose,Oriente Petrolero,0.5973517160884613,vv

Nacional Potosi,Real Santa Cruz,0.526621019520594,vl

The Strongest,Guabira,0.9900831123796893,vv

Aurora,Blooming,0.7007960117221351,vl

San Jose,Blooming,0.7192513429769167,vv

The Strongest,Aurora,0.9973360790934419,vl

Always Ready,Royal Pari,0.5595628274220255,vl

Bolivar,Jorge Wilstermann,0.9507056650581467,vv

Bolivar,Oriente Petrolero,0.9997307078128975,vl

Jorge Wilstermann,Royal Pari,0.9988355687919029,vv

Guabira,Real Potosi,0.7786941270416325,vl

Bolivar,San Jose,0.995772485130024,vv

Real Potosi,Blooming,0.5045493831267462,vl

Always Ready,Blooming,0.5297792116927621,vv

Guabira,Oriente Petrolero,0.6338792922289115,vl

San Jose,Royal Pari,0.9663210104439818,vl

Jorge Wilstermann,The Strongest,0.6954269131783422,vv

The Strongest,Oriente Petrolero,0.9833004857882175,vv

San Jose,Always Ready,0.7684280825907048,vv

Oriente Petrolero,Real Santa Cruz,0.7017670286817022,vv

Aurora,Royal Pari,0.6344631244036262,vl

Blooming,Royal Pari,0.5565597347342652,vv

Jorge Wilstermann,San Jose,0.9881122345957831,vl

Bolivar,Real Santa Cruz,0.9999391331592568,vv

Royal Pari,Real Santa Cruz,0.5913419101055352,vl

Jorge Wilstermann,Oriente Petrolero,0.9944205217396616,vv

The Strongest,Aurora,0.9897332503574645,vv

Bolivar,Oriente Petrolero,0.999579701302377,vv

Jorge Wilstermann,Royal Pari,0.9971543981654921,vl

Guabira,Real Potosi,0.5497956481480786,vv

Blooming,Real Santa Cruz,0.6430336408103821,vv

Jorge Wilstermann,Guabira,0.9967018157318743,vv

The Strongest,Real Potosi,0.9955100704018269,vv

Oriente Petrolero,Guabira,0.7551069899108686,vl

San Jose,Real Potosi,0.9836703317493034,vl

Always Ready,Real Santa Cruz,0.8184061600303218,vv

Bolivar,Aurora,0.999743240619273,vv

Jorge Wilstermann,Real Santa Cruz,0.9991884085219245,vv

Always Ready,Real Potosi,0.710709556087469,vv

San Jose,Always Ready,0.9393045183441969,vl

Jorge Wilstermann,San Jose,0.9463862319520763,vv

Blooming,Guabira,0.6410051870767639,vl

Royal Pari,Real Santa Cruz,0.7085257559128217,vv

Bolivar,Real Potosi,0.9998883475099696,vv

Nacional Potosi,Real Potosi,0.5845105800246625,vv

Oriente Petrolero,Atletico Palmaflor,0.7934698860457358,vl

Always Ready,Nacional Potosi,0.8033196327809617,vv

The Strongest,Blooming,0.9902611296249499,vv

g

p

p,b

r,e,s,u,l

Blooming,Real Santa Cruz,0.6539115079404305,vl

San Jose,Real Santa Cruz,0.9897410507840227,vv

Aurora,Atletico Palmaflor,0.8680866712669068,vl

Nacional Potosi,Royal Pari,0.8289506274880382,vl

San Jose,Nacional Potosi,0.9331497205001554,vl

Jorge Wilstermann,Real Santa Cruz,0.9959984905570395,vl

San Jose,Guabira,0.6908734230448095,vl

Oriente Petrolero,Real Potosi,0.5824194267829145,vv

Blooming,Guabira,0.7103786635318616,vv

Bolivar,Real Potosi,0.9991570921288779,vl

Real Potosi,Royal Pari,0.6715171136208233,vl

Bolivar,Jorge Wilstermann,0.7304386283939257,vl

Always Ready,Nacional Potosi,0.9009613277266472,vl

The Strongest,San Jose,0.966039179528459,vv

Oriente Petrolero,Royal Pari,0.8533884848308064,vl

Aurora,Always Ready,0.8193383958514479,vl

Jorge Wilstermann,Aurora,0.9977878632202317,vl

Atletico Palmaflor,Nacional Potosi,0.5311052722090022,vl

Bolivar,Nacional Potosi,0.9997799165238299,vv

The Strongest,Jorge Wilstermann,0.5025527879873865,vv

